gwcode,gwc,country_name,start,end,microstate
57,SVG,Saint Vincent and the Grenadines,27/10/1979,31/12/9999,TRUE
58,AAB,Antigua & Barbuda,01/11/1981,31/12/9999,TRUE
60,SKN,Saint Kitts and Nevis,19/09/1983,31/12/9999,TRUE
221,MNC,Monaco,1816-01-01,31/12/9999,TRUE
223,LIE,Liechtenstein,1816-01-01,31/12/9999,TRUE
331,SNM,San Marino,1816-01-01,31/12/9999,TRUE
232,AND,Andorra,1816-01-01,31/12/9999,TRUE
396,ABK,Abkhazia,26/08/2008,31/12/9999,TRUE
397,SOT,South Ossetia,26/08/2008,31/12/9999,TRUE
403,STP,Sao Tome and Principe,12/07/1975,31/12/9999,TRUE
591,SEY,Seychelles,29/06/1976,31/12/9999,TRUE
935,VAN,Vanuatu,30/06/1980,31/12/9999,TRUE
970,KBI,Kiribati,12/07/1979,31/12/9999,TRUE
971,NAU,Nauru,31/12/1968,31/12/9999,TRUE
972,TON,Tonga,04/06/1970,31/12/9999,TRUE
973,TUV,Tuvalu,01/10/1978,31/12/9999,TRUE
983,MSI,Marshall Islands,21/10/1986,31/12/9999,TRUE
986,PAL,Palau,01/10/1994,31/12/9999,TRUE
987,FSM,Federated States of Micronesia,03/11/1986,31/12/9999,TRUE
990,WSM,Samoa/Western Samoa,01/01/1962,31/12/9999,TRUE
